,False Accounting,Bankruptcy and Insolvency,Department of Works and Pensions (DWP) Fraud,Fraudulent Applications for Grants from Government Funded Organisations,HM Revenue & Customs Fraud (HMRC),Pension Fraud by Pensioner (or their estates),Pension Fraud committed on Pensions,Pension Liberation Fraud,Other Regulatory Fraud, Fraud by Failing to Disclose Information,Fraud by Abuse of Position of Trust,"""419"" Advance Fee Fraud",Lottery Scams,Counterfeit Cashiers Cheques,Dating Scam,Fraud Recovery,Inheritance Fraud ,Rental Fraud,Other Advance Fee Frauds,Lender Loan Fraud,Share sales or Boiler Room Fraud,Pyramid or Ponzi Schemes, Prime Bank Guarantees, Time Shares and Holiday Club Fraud,Other Financial Investment,Online Shopping and Auctions,Consumer Phone Fraud,Door to Door Sales and Bogus Tradesmen,Other Consumer Non Investment Fraud,Computer Software Service Fraud,Ticket Fraud,Retail Fraud,Charity Fraud,Fraudulent Applications for Grants from Charities,Computer Virus \ Malware \ Spyware,Denial of Service Attack ,Denial of Service Attack -Extortion,Hacking - Server,Hacking - Personal,Hacking - Social Media and Email,Hacking - PBX / Dial Through,Hacking Extortion,"Cheque, Plastic Card and Online Bank Accounts (not PSP)",Application  Fraud (excluding Mortgages),Mortgage Related Fraud,Mandate Fraud,Dishonestly retaining a wrongful credit,Insurance Related Fraud,Insurance Broker Fraud,Telecom Industry Fraud (Misuse of Contracts),Corporate Employee Fraud,Corporate Procurement Fraud,Business Trading Fraud,DVLA Driving Licence Application Fraud,None of the Above,Violence with injury (including homicide & death/serious injury by unlawful driving),Violence without injury,Harassment,Sexual offences,Robbery,Theft - burglary residential,Theft - burglary business & community,Theft - domestic burglary,Theft - non-domestic burglary,Theft from the person,Theft - vehicle offences,Bicycle theft,Theft - shoplifting,All other theft offences,Criminal damage,Possession of drugs,Trafficking of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Total police recorded crime,T,D,P,D1,D2,P1,P2
Apr-15,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,2,0,1,11,10,1,2,0,0,2,35,3,1,10,15,2,2,0,0,3,0,0,0,3,2,1,1,13,1,0,2,0,0,1,0,0,0,0,0,17,1211,1344,270,246,70,0,0,523,289,40,409,81,544,1122,1813,347,77,59,112,251,8808,1,0,0,0,0,0,0
May-15,1,0,0,0,0,0,0,1,1,0,0,0,4,4,2,3,0,1,15,15,3,0,0,0,1,46,5,2,10,37,1,1,0,0,6,0,0,1,2,5,3,0,17,1,0,3,0,0,0,0,1,0,0,0,13,1270,1517,300,260,42,0,0,453,246,38,403,52,585,1017,1696,377,50,68,139,213,8726,2,0,0,0,0,0,0
Jun-15,0,0,0,0,0,0,1,1,0,1,2,1,3,1,2,2,0,3,26,12,3,0,0,1,3,41,3,2,8,30,10,1,0,0,10,0,0,1,2,8,5,0,8,0,2,3,0,0,1,0,0,0,1,0,13,1281,1508,311,264,65,0,0,495,280,49,440,77,622,1068,1935,383,56,97,126,277,9334,3,0,0,0,0,0,0
Jul-15,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,0,3,16,17,2,0,1,0,3,49,1,2,9,29,4,0,1,0,12,0,0,0,2,4,3,0,19,0,0,9,0,0,0,0,1,0,0,0,18,1330,1542,286,200,70,0,0,478,248,50,430,88,582,1085,1867,360,68,83,112,223,9102,4,0,0,0,0,0,0
Aug-15,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,1,0,10,5,0,0,0,0,2,43,1,6,10,26,6,0,2,0,4,0,0,0,3,3,0,2,9,0,0,7,0,0,0,0,1,0,1,0,22,1406,1603,298,241,63,0,0,477,298,65,477,75,633,1000,1867,352,68,84,103,222,9332,5,0,0,0,0,0,0
Sep-15,0,0,0,1,0,0,0,2,0,0,2,2,3,5,0,2,0,4,10,14,4,0,0,0,5,45,0,3,9,18,7,2,0,1,1,0,0,1,1,3,1,0,6,0,0,3,0,0,1,0,2,0,0,0,27,1162,1449,336,263,68,0,0,520,249,47,469,86,566,978,1735,426,70,80,123,259,8886,6,0,0,0,0,0,0
Oct-15,2,0,0,1,0,0,0,0,0,0,0,0,2,3,2,0,1,2,15,9,22,0,0,0,5,40,0,1,10,23,1,4,1,0,1,0,0,1,4,2,1,1,16,0,0,6,0,0,0,0,2,0,0,0,38,1292,1541,283,285,70,0,0,538,289,43,410,60,616,1045,1961,444,77,90,143,283,9470,7,0,0,0,0,0,0
Nov-15,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,1,8,9,0,0,0,0,1,31,1,4,8,21,3,2,1,0,1,1,2,0,3,0,2,1,7,0,0,6,0,0,0,0,3,1,0,1,42,1185,1304,271,243,66,0,0,454,199,44,417,43,550,1018,1568,400,67,69,132,236,8266,8,0,0,0,0,0,0
Dec-15,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,0,1,2,10,6,0,0,0,0,3,36,1,4,10,16,6,1,0,0,0,0,0,0,1,4,0,2,15,3,0,6,0,0,0,0,1,0,0,0,22,1330,1394,243,208,58,0,0,521,206,48,415,37,541,1072,1612,381,73,71,107,220,8537,9,0,0,0,0,0,0
Jan-16,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,1,0,10,7,11,0,0,0,4,40,2,1,7,23,2,4,1,0,6,0,0,1,1,1,1,1,10,2,0,8,0,0,0,0,3,0,0,0,25,1180,1316,271,274,60,0,0,464,217,43,388,47,464,953,1404,354,77,68,115,223,7918,10,0,0,0,0,0,0
Feb-16,0,0,0,1,0,0,1,0,0,0,1,1,1,5,4,1,1,2,11,7,0,0,0,0,1,34,2,5,7,18,3,3,2,0,1,1,1,0,2,2,1,1,14,2,0,3,0,0,0,0,2,0,0,0,18,1128,1314,236,260,50,0,0,489,184,52,343,37,582,1049,1400,392,117,64,113,251,8061,11,0,0,0,0,0,0
Mar-16,1,0,0,0,0,0,0,0,0,3,2,2,1,5,8,1,0,0,8,8,0,0,0,1,2,40,1,3,12,19,5,11,1,0,3,0,0,0,2,2,0,0,13,2,0,10,1,0,0,0,1,1,0,0,40,1254,1445,273,286,50,0,0,444,212,39,323,35,487,977,1653,460,72,88,143,245,8486,12,0,0,0,0,0,0
Apr-16,0,0,0,0,0,0,0,0,0,0,2,0,0,7,6,1,1,1,14,7,1,0,0,0,7,42,2,9,5,29,2,15,0,0,3,0,0,0,3,2,2,4,17,1,0,10,0,1,0,0,4,1,0,0,44,1177,1319,293,259,60,0,0,442,180,39,332,59,553,1045,1552,374,68,65,111,257,8185,13,0,0,0,0,0,0
May-16,1,0,0,0,4,0,0,0,0,0,2,0,0,2,5,0,1,1,18,6,0,0,0,0,5,37,1,5,6,20,7,13,1,0,2,0,0,1,2,4,2,2,27,2,1,10,0,0,0,2,6,0,0,0,68,1298,1577,283,285,46,0,0,404,219,46,299,71,550,1046,1743,334,68,79,129,235,8712,14,0,0,0,0,0,0
